Prompt,Generated Recipe
"Generate a vegetarian recipe for lunch with yogurt, mushrooms, tofu, rice, avoiding ginger.","Dish: Ingredients: yogurt, mushrooms, tofu, rice. Instructions: Combine yogurt, mushrooms, tofu, add rice, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with cashews, lemongrass, avocado, breadcrumbs, avoiding mushrooms.","Dish: Ingredients: cashews, lemongrass, avocado, breadcrumbs. Instructions: Combine cashews, lemongrass, avocado, add breadcrumbs, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with coconut milk, avocado, soy sauce, pasta, avoiding chickpeas.","Dish: Ingredients: coconut milk, avocado, soy sauce, pasta. Instructions: Combine coconut milk, avocado, soy sauce, add pasta, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with garlic, parmesan, eggplant, cashews, avoiding potato.","Dish: Ingredients: garlic, parmesan, eggplant, cashews. Instructions: Combine garlic, parmesan, eggplant, add cashews, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with mushrooms, sesame seeds, onion, chickpeas, avoiding coconut milk.","Dish: Ingredients: mushrooms, sesame seeds, onion, chickpeas. Instructions: Combine mushrooms, sesame seeds, onion, add chickpeas, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with eggplant, parmesan, chickpeas, olive oil, avoiding soy sauce.","Dish: Ingredients: eggplant, parmesan, chickpeas, olive oil. Instructions: Combine eggplant, parmesan, chickpeas, add olive oil, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with potato, basil, lemongrass, garlic, avoiding soy sauce.","Dish: Ingredients: potato, basil, lemongrass, garlic. Instructions: Combine potato, basil, lemongrass, add garlic, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with breadcrumbs, olive oil, eggplant, garlic, avoiding coconut milk.","Dish: Ingredients: breadcrumbs, olive oil, eggplant, garlic. Instructions: Combine breadcrumbs, olive oil, eggplant, add garlic, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with ginger, onion, lemongrass, spinach, avoiding tomato.","Dish: Ingredients: ginger, onion, lemongrass, spinach. Instructions: Combine ginger, onion, lemongrass, add spinach, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with lemongrass, soy sauce, basil, cucumber, avoiding chickpeas.","Dish: Ingredients: lemongrass, soy sauce, basil, cucumber. Instructions: Combine lemongrass, soy sauce, basil, add cucumber, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with chickpeas, breadcrumbs, bell peppers, basil, avoiding eggplant.","Dish: Ingredients: chickpeas, breadcrumbs, bell peppers, basil. Instructions: Combine chickpeas, breadcrumbs, bell peppers, add basil, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with lemongrass, avocado, sesame seeds, garlic, avoiding bell peppers.","Dish: Ingredients: lemongrass, avocado, sesame seeds, garlic. Instructions: Combine lemongrass, avocado, sesame seeds, add garlic, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with coconut milk, cilantro, spinach, garlic, avoiding lemongrass.","Dish: Ingredients: coconut milk, cilantro, spinach, garlic. Instructions: Combine coconut milk, cilantro, spinach, add garlic, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with olive oil, tofu, cilantro, basil, avoiding parmesan.","Dish: Ingredients: olive oil, tofu, cilantro, basil. Instructions: Combine olive oil, tofu, cilantro, add basil, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with ginger, olive oil, lemongrass, rice, avoiding yogurt.","Dish: Ingredients: ginger, olive oil, lemongrass, rice. Instructions: Combine ginger, olive oil, lemongrass, add rice, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with yogurt, cashews, avocado, onion, avoiding chickpeas.","Dish: Ingredients: yogurt, cashews, avocado, onion. Instructions: Combine yogurt, cashews, avocado, add onion, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with eggplant, lentils, rice, mushrooms, avoiding coconut milk.","Dish: Ingredients: eggplant, lentils, rice, mushrooms. Instructions: Combine eggplant, lentils, rice, add mushrooms, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with parmesan, avocado, carrot, mushrooms, avoiding rice.","Dish: Ingredients: parmesan, avocado, carrot, mushrooms. Instructions: Combine parmesan, avocado, carrot, add mushrooms, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with yogurt, pasta, parmesan, carrot, avoiding lemongrass.","Dish: Ingredients: yogurt, pasta, parmesan, carrot. Instructions: Combine yogurt, pasta, parmesan, add carrot, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with eggplant, tofu, rice, mushrooms, avoiding cashews.","Dish: Ingredients: eggplant, tofu, rice, mushrooms. Instructions: Combine eggplant, tofu, rice, add mushrooms, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with yogurt, potato, carrot, avocado, avoiding pasta.","Dish: Ingredients: yogurt, potato, carrot, avocado. Instructions: Combine yogurt, potato, carrot, add avocado, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with tomato, cashews, carrot, chickpeas, avoiding yogurt.","Dish: Ingredients: tomato, cashews, carrot, chickpeas. Instructions: Combine tomato, cashews, carrot, add chickpeas, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with avocado, lentils, soy sauce, bell peppers, avoiding rice.","Dish: Ingredients: avocado, lentils, soy sauce, bell peppers. Instructions: Combine avocado, lentils, soy sauce, add bell peppers, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with mushrooms, garlic, cilantro, cucumber, avoiding basil.","Dish: Ingredients: mushrooms, garlic, cilantro, cucumber. Instructions: Combine mushrooms, garlic, cilantro, add cucumber, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with soy sauce, rice, potato, tofu, avoiding chickpeas.","Dish: Ingredients: soy sauce, rice, potato, tofu. Instructions: Combine soy sauce, rice, potato, add tofu, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with pasta, cucumber, eggplant, onion, avoiding sesame seeds.","Dish: Ingredients: pasta, cucumber, eggplant, onion. Instructions: Combine pasta, cucumber, eggplant, add onion, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with eggplant, coconut milk, potato, basil, avoiding mushrooms.","Dish: Ingredients: eggplant, coconut milk, potato, basil. Instructions: Combine eggplant, coconut milk, potato, add basil, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with mushrooms, cucumber, potato, tofu, avoiding bell peppers.","Dish: Ingredients: mushrooms, cucumber, potato, tofu. Instructions: Combine mushrooms, cucumber, potato, add tofu, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with breadcrumbs, lentils, eggplant, rice, avoiding parmesan.","Dish: Ingredients: breadcrumbs, lentils, eggplant, rice. Instructions: Combine breadcrumbs, lentils, eggplant, add rice, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with chickpeas, rice, pasta, potato, avoiding eggplant.","Dish: Ingredients: chickpeas, rice, pasta, potato. Instructions: Combine chickpeas, rice, pasta, add potato, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with soy sauce, parmesan, cilantro, lentils, avoiding bell peppers.","Dish: Ingredients: soy sauce, parmesan, cilantro, lentils. Instructions: Combine soy sauce, parmesan, cilantro, add lentils, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with cashews, coconut milk, bell peppers, tofu, avoiding carrot.","Dish: Ingredients: cashews, coconut milk, bell peppers, tofu. Instructions: Combine cashews, coconut milk, bell peppers, add tofu, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with lentils, olive oil, breadcrumbs, basil, avoiding pasta.","Dish: Ingredients: lentils, olive oil, breadcrumbs, basil. Instructions: Combine lentils, olive oil, breadcrumbs, add basil, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with cashews, parmesan, lemongrass, mushrooms, avoiding potato.","Dish: Ingredients: cashews, parmesan, lemongrass, mushrooms. Instructions: Combine cashews, parmesan, lemongrass, add mushrooms, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with carrot, eggplant, tofu, olive oil, avoiding spinach.","Dish: Ingredients: carrot, eggplant, tofu, olive oil. Instructions: Combine carrot, eggplant, tofu, add olive oil, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with bell peppers, coconut milk, soy sauce, mushrooms, avoiding sesame seeds.","Dish: Ingredients: bell peppers, coconut milk, soy sauce, mushrooms. Instructions: Combine bell peppers, coconut milk, soy sauce, add mushrooms, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with onion, parmesan, tomato, ginger, avoiding soy sauce.","Dish: Ingredients: onion, parmesan, tomato, ginger. Instructions: Combine onion, parmesan, tomato, add ginger, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with garlic, spinach, onion, tofu, avoiding chickpeas.","Dish: Ingredients: garlic, spinach, onion, tofu. Instructions: Combine garlic, spinach, onion, add tofu, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with coconut milk, ginger, pasta, sesame seeds, avoiding tofu.","Dish: Ingredients: coconut milk, ginger, pasta, sesame seeds. Instructions: Combine coconut milk, ginger, pasta, add sesame seeds, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with chickpeas, spinach, tofu, bell peppers, avoiding potato.","Dish: Ingredients: chickpeas, spinach, tofu, bell peppers. Instructions: Combine chickpeas, spinach, tofu, add bell peppers, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with breadcrumbs, parmesan, eggplant, cashews, avoiding olive oil.","Dish: Ingredients: breadcrumbs, parmesan, eggplant, cashews. Instructions: Combine breadcrumbs, parmesan, eggplant, add cashews, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with garlic, olive oil, avocado, tofu, avoiding breadcrumbs.","Dish: Ingredients: garlic, olive oil, avocado, tofu. Instructions: Combine garlic, olive oil, avocado, add tofu, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with potato, onion, cucumber, avocado, avoiding basil.","Dish: Ingredients: potato, onion, cucumber, avocado. Instructions: Combine potato, onion, cucumber, add avocado, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with olive oil, garlic, breadcrumbs, pasta, avoiding bell peppers.","Dish: Ingredients: olive oil, garlic, breadcrumbs, pasta. Instructions: Combine olive oil, garlic, breadcrumbs, add pasta, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with yogurt, lentils, garlic, eggplant, avoiding parmesan.","Dish: Ingredients: yogurt, lentils, garlic, eggplant. Instructions: Combine yogurt, lentils, garlic, add eggplant, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with sesame seeds, cashews, avocado, chickpeas, avoiding olive oil.","Dish: Ingredients: sesame seeds, cashews, avocado, chickpeas. Instructions: Combine sesame seeds, cashews, avocado, add chickpeas, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with lentils, garlic, eggplant, potato, avoiding spinach.","Dish: Ingredients: lentils, garlic, eggplant, potato. Instructions: Combine lentils, garlic, eggplant, add potato, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with coconut milk, cashews, mushrooms, tofu, avoiding chickpeas.","Dish: Ingredients: coconut milk, cashews, mushrooms, tofu. Instructions: Combine coconut milk, cashews, mushrooms, add tofu, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with chickpeas, sesame seeds, lemongrass, lentils, avoiding onion.","Dish: Ingredients: chickpeas, sesame seeds, lemongrass, lentils. Instructions: Combine chickpeas, sesame seeds, lemongrass, add lentils, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with yogurt, sesame seeds, tomato, chickpeas, avoiding bell peppers.","Dish: Ingredients: yogurt, sesame seeds, tomato, chickpeas. Instructions: Combine yogurt, sesame seeds, tomato, add chickpeas, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with potato, cucumber, garlic, lentils, avoiding spinach.","Dish: Ingredients: potato, cucumber, garlic, lentils. Instructions: Combine potato, cucumber, garlic, add lentils, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with soy sauce, pasta, carrot, eggplant, avoiding potato.","Dish: Ingredients: soy sauce, pasta, carrot, eggplant. Instructions: Combine soy sauce, pasta, carrot, add eggplant, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with eggplant, lemongrass, rice, coconut milk, avoiding olive oil.","Dish: Ingredients: eggplant, lemongrass, rice, coconut milk. Instructions: Combine eggplant, lemongrass, rice, add coconut milk, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with basil, soy sauce, chickpeas, mushrooms, avoiding tomato.","Dish: Ingredients: basil, soy sauce, chickpeas, mushrooms. Instructions: Combine basil, soy sauce, chickpeas, add mushrooms, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with rice, soy sauce, potato, breadcrumbs, avoiding garlic.","Dish: Ingredients: rice, soy sauce, potato, breadcrumbs. Instructions: Combine rice, soy sauce, potato, add breadcrumbs, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with rice, pasta, lentils, sesame seeds, avoiding cucumber.","Dish: Ingredients: rice, pasta, lentils, sesame seeds. Instructions: Combine rice, pasta, lentils, add sesame seeds, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with parmesan, pasta, onion, spinach, avoiding breadcrumbs.","Dish: Ingredients: parmesan, pasta, onion, spinach. Instructions: Combine parmesan, pasta, onion, add spinach, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with soy sauce, garlic, parmesan, tomato, avoiding spinach.","Dish: Ingredients: soy sauce, garlic, parmesan, tomato. Instructions: Combine soy sauce, garlic, parmesan, add tomato, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with carrot, lemongrass, soy sauce, eggplant, avoiding bell peppers.","Dish: Ingredients: carrot, lemongrass, soy sauce, eggplant. Instructions: Combine carrot, lemongrass, soy sauce, add eggplant, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with soy sauce, ginger, basil, tomato, avoiding coconut milk.","Dish: Ingredients: soy sauce, ginger, basil, tomato. Instructions: Combine soy sauce, ginger, basil, add tomato, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with bell peppers, breadcrumbs, coconut milk, carrot, avoiding eggplant.","Dish: Ingredients: bell peppers, breadcrumbs, coconut milk, carrot. Instructions: Combine bell peppers, breadcrumbs, coconut milk, add carrot, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with tomato, pasta, breadcrumbs, bell peppers, avoiding tofu.","Dish: Ingredients: tomato, pasta, breadcrumbs, bell peppers. Instructions: Combine tomato, pasta, breadcrumbs, add bell peppers, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with mushrooms, cashews, tomato, bell peppers, avoiding cilantro.","Dish: Ingredients: mushrooms, cashews, tomato, bell peppers. Instructions: Combine mushrooms, cashews, tomato, add bell peppers, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with basil, carrot, lemongrass, cashews, avoiding yogurt.","Dish: Ingredients: basil, carrot, lemongrass, cashews. Instructions: Combine basil, carrot, lemongrass, add cashews, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with yogurt, coconut milk, pasta, garlic, avoiding basil.","Dish: Ingredients: yogurt, coconut milk, pasta, garlic. Instructions: Combine yogurt, coconut milk, pasta, add garlic, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with sesame seeds, cashews, cilantro, potato, avoiding ginger.","Dish: Ingredients: sesame seeds, cashews, cilantro, potato. Instructions: Combine sesame seeds, cashews, cilantro, add potato, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with rice, lentils, basil, eggplant, avoiding cashews.","Dish: Ingredients: rice, lentils, basil, eggplant. Instructions: Combine rice, lentils, basil, add eggplant, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with lemongrass, tofu, parmesan, ginger, avoiding lentils.","Dish: Ingredients: lemongrass, tofu, parmesan, ginger. Instructions: Combine lemongrass, tofu, parmesan, add ginger, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with onion, lemongrass, cashews, eggplant, avoiding parmesan.","Dish: Ingredients: onion, lemongrass, cashews, eggplant. Instructions: Combine onion, lemongrass, cashews, add eggplant, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with parmesan, onion, spinach, cilantro, avoiding pasta.","Dish: Ingredients: parmesan, onion, spinach, cilantro. Instructions: Combine parmesan, onion, spinach, add cilantro, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with bell peppers, breadcrumbs, eggplant, pasta, avoiding lemongrass.","Dish: Ingredients: bell peppers, breadcrumbs, eggplant, pasta. Instructions: Combine bell peppers, breadcrumbs, eggplant, add pasta, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with cashews, rice, eggplant, tomato, avoiding carrot.","Dish: Ingredients: cashews, rice, eggplant, tomato. Instructions: Combine cashews, rice, eggplant, add tomato, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with cucumber, potato, bell peppers, chickpeas, avoiding coconut milk.","Dish: Ingredients: cucumber, potato, bell peppers, chickpeas. Instructions: Combine cucumber, potato, bell peppers, add chickpeas, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with basil, parmesan, breadcrumbs, eggplant, avoiding coconut milk.","Dish: Ingredients: basil, parmesan, breadcrumbs, eggplant. Instructions: Combine basil, parmesan, breadcrumbs, add eggplant, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with lemongrass, yogurt, basil, tofu, avoiding garlic.","Dish: Ingredients: lemongrass, yogurt, basil, tofu. Instructions: Combine lemongrass, yogurt, basil, add tofu, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with onion, potato, parmesan, cucumber, avoiding carrot.","Dish: Ingredients: onion, potato, parmesan, cucumber. Instructions: Combine onion, potato, parmesan, add cucumber, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with breadcrumbs, soy sauce, ginger, spinach, avoiding carrot.","Dish: Ingredients: breadcrumbs, soy sauce, ginger, spinach. Instructions: Combine breadcrumbs, soy sauce, ginger, add spinach, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with cilantro, sesame seeds, cucumber, spinach, avoiding lentils.","Dish: Ingredients: cilantro, sesame seeds, cucumber, spinach. Instructions: Combine cilantro, sesame seeds, cucumber, add spinach, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with yogurt, chickpeas, cucumber, tofu, avoiding rice.","Dish: Ingredients: yogurt, chickpeas, cucumber, tofu. Instructions: Combine yogurt, chickpeas, cucumber, add tofu, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with lemongrass, lentils, sesame seeds, chickpeas, avoiding basil.","Dish: Ingredients: lemongrass, lentils, sesame seeds, chickpeas. Instructions: Combine lemongrass, lentils, sesame seeds, add chickpeas, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with carrot, chickpeas, avocado, olive oil, avoiding garlic.","Dish: Ingredients: carrot, chickpeas, avocado, olive oil. Instructions: Combine carrot, chickpeas, avocado, add olive oil, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with chickpeas, rice, bell peppers, avocado, avoiding cilantro.","Dish: Ingredients: chickpeas, rice, bell peppers, avocado. Instructions: Combine chickpeas, rice, bell peppers, add avocado, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with mushrooms, sesame seeds, olive oil, lemongrass, avoiding bell peppers.","Dish: Ingredients: mushrooms, sesame seeds, olive oil, lemongrass. Instructions: Combine mushrooms, sesame seeds, olive oil, add lemongrass, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with rice, basil, mushrooms, cucumber, avoiding ginger.","Dish: Ingredients: rice, basil, mushrooms, cucumber. Instructions: Combine rice, basil, mushrooms, add cucumber, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with rice, bell peppers, basil, yogurt, avoiding breadcrumbs.","Dish: Ingredients: rice, bell peppers, basil, yogurt. Instructions: Combine rice, bell peppers, basil, add yogurt, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with tofu, cucumber, tomato, breadcrumbs, avoiding garlic.","Dish: Ingredients: tofu, cucumber, tomato, breadcrumbs. Instructions: Combine tofu, cucumber, tomato, add breadcrumbs, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with ginger, tofu, cucumber, parmesan, avoiding lentils.","Dish: Ingredients: ginger, tofu, cucumber, parmesan. Instructions: Combine ginger, tofu, cucumber, add parmesan, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with breadcrumbs, chickpeas, basil, lemongrass, avoiding onion.","Dish: Ingredients: breadcrumbs, chickpeas, basil, lemongrass. Instructions: Combine breadcrumbs, chickpeas, basil, add lemongrass, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with onion, avocado, rice, cilantro, avoiding spinach.","Dish: Ingredients: onion, avocado, rice, cilantro. Instructions: Combine onion, avocado, rice, add cilantro, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with sesame seeds, onion, garlic, cucumber, avoiding rice.","Dish: Ingredients: sesame seeds, onion, garlic, cucumber. Instructions: Combine sesame seeds, onion, garlic, add cucumber, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with ginger, rice, soy sauce, cucumber, avoiding pasta.","Dish: Ingredients: ginger, rice, soy sauce, cucumber. Instructions: Combine ginger, rice, soy sauce, add cucumber, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with potato, chickpeas, ginger, sesame seeds, avoiding soy sauce.","Dish: Ingredients: potato, chickpeas, ginger, sesame seeds. Instructions: Combine potato, chickpeas, ginger, add sesame seeds, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with avocado, soy sauce, potato, mushrooms, avoiding sesame seeds.","Dish: Ingredients: avocado, soy sauce, potato, mushrooms. Instructions: Combine avocado, soy sauce, potato, add mushrooms, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with spinach, cashews, yogurt, basil, avoiding soy sauce.","Dish: Ingredients: spinach, cashews, yogurt, basil. Instructions: Combine spinach, cashews, yogurt, add basil, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with spinach, cilantro, eggplant, carrot, avoiding breadcrumbs.","Dish: Ingredients: spinach, cilantro, eggplant, carrot. Instructions: Combine spinach, cilantro, eggplant, add carrot, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with parmesan, yogurt, tomato, cilantro, avoiding coconut milk.","Dish: Ingredients: parmesan, yogurt, tomato, cilantro. Instructions: Combine parmesan, yogurt, tomato, add cilantro, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with cashews, onion, carrot, yogurt, avoiding cilantro.","Dish: Ingredients: cashews, onion, carrot, yogurt. Instructions: Combine cashews, onion, carrot, add yogurt, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with parmesan, cashews, avocado, carrot, avoiding lemongrass.","Dish: Ingredients: parmesan, cashews, avocado, carrot. Instructions: Combine parmesan, cashews, avocado, add carrot, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with basil, potato, soy sauce, sesame seeds, avoiding lemongrass.","Dish: Ingredients: basil, potato, soy sauce, sesame seeds. Instructions: Combine basil, potato, soy sauce, add sesame seeds, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with tofu, spinach, olive oil, mushrooms, avoiding cilantro.","Dish: Ingredients: tofu, spinach, olive oil, mushrooms. Instructions: Combine tofu, spinach, olive oil, add mushrooms, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with bell peppers, parmesan, soy sauce, rice, avoiding lentils.","Dish: Ingredients: bell peppers, parmesan, soy sauce, rice. Instructions: Combine bell peppers, parmesan, soy sauce, add rice, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with coconut milk, rice, spinach, basil, avoiding pasta.","Dish: Ingredients: coconut milk, rice, spinach, basil. Instructions: Combine coconut milk, rice, spinach, add basil, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with cucumber, sesame seeds, breadcrumbs, onion, avoiding cilantro.","Dish: Ingredients: cucumber, sesame seeds, breadcrumbs, onion. Instructions: Combine cucumber, sesame seeds, breadcrumbs, add onion, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with cucumber, eggplant, soy sauce, spinach, avoiding garlic.","Dish: Ingredients: cucumber, eggplant, soy sauce, spinach. Instructions: Combine cucumber, eggplant, soy sauce, add spinach, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with basil, garlic, cilantro, tofu, avoiding potato.","Dish: Ingredients: basil, garlic, cilantro, tofu. Instructions: Combine basil, garlic, cilantro, add tofu, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with olive oil, coconut milk, yogurt, cilantro, avoiding cashews.","Dish: Ingredients: olive oil, coconut milk, yogurt, cilantro. Instructions: Combine olive oil, coconut milk, yogurt, add cilantro, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with tomato, lemongrass, eggplant, yogurt, avoiding coconut milk.","Dish: Ingredients: tomato, lemongrass, eggplant, yogurt. Instructions: Combine tomato, lemongrass, eggplant, add yogurt, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with rice, lemongrass, bell peppers, olive oil, avoiding soy sauce.","Dish: Ingredients: rice, lemongrass, bell peppers, olive oil. Instructions: Combine rice, lemongrass, bell peppers, add olive oil, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with cilantro, yogurt, sesame seeds, lentils, avoiding tomato.","Dish: Ingredients: cilantro, yogurt, sesame seeds, lentils. Instructions: Combine cilantro, yogurt, sesame seeds, add lentils, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with carrot, yogurt, ginger, lemongrass, avoiding coconut milk.","Dish: Ingredients: carrot, yogurt, ginger, lemongrass. Instructions: Combine carrot, yogurt, ginger, add lemongrass, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with bell peppers, eggplant, pasta, olive oil, avoiding parmesan.","Dish: Ingredients: bell peppers, eggplant, pasta, olive oil. Instructions: Combine bell peppers, eggplant, pasta, add olive oil, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with pasta, yogurt, lentils, sesame seeds, avoiding mushrooms.","Dish: Ingredients: pasta, yogurt, lentils, sesame seeds. Instructions: Combine pasta, yogurt, lentils, add sesame seeds, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with cilantro, soy sauce, breadcrumbs, coconut milk, avoiding parmesan.","Dish: Ingredients: cilantro, soy sauce, breadcrumbs, coconut milk. Instructions: Combine cilantro, soy sauce, breadcrumbs, add coconut milk, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with coconut milk, chickpeas, cilantro, eggplant, avoiding tomato.","Dish: Ingredients: coconut milk, chickpeas, cilantro, eggplant. Instructions: Combine coconut milk, chickpeas, cilantro, add eggplant, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with cashews, yogurt, spinach, coconut milk, avoiding carrot.","Dish: Ingredients: cashews, yogurt, spinach, coconut milk. Instructions: Combine cashews, yogurt, spinach, add coconut milk, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with olive oil, parmesan, breadcrumbs, eggplant, avoiding bell peppers.","Dish: Ingredients: olive oil, parmesan, breadcrumbs, eggplant. Instructions: Combine olive oil, parmesan, breadcrumbs, add eggplant, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with cilantro, rice, spinach, avocado, avoiding lentils.","Dish: Ingredients: cilantro, rice, spinach, avocado. Instructions: Combine cilantro, rice, spinach, add avocado, cook thoroughly, and serve hot."
